han,hex,dec
帧,5E27,24103
席,5E2D,24109
帮,5E2E,24110
帷,5E37,24119
常,5E38,24120
帼,5E3C,24124
帽,5E3D,24125
幂,5E42,24130
幄,5E44,24132
幅,5E45,24133
幌,5E4C,24140
幔,5E54,24148
幕,5E55,24149
幡,5E61,24161
幢,5E62,24162
干,5E72,24178
平,5E73,24179
年,5E74,24180
并,5E76,24182
幸,5E78,24184
幺,5E7A,24186
幻,5E7B,24187
幼,5E7C,24188
幽,5E7D,24189
广,5E7F,24191
庄,5E84,24196
庆,5E86,24198
庇,5E87,24199
床,5E8A,24202
序,5E8F,24207
庐,5E90,24208
库,5E93,24211
应,5E94,24212
底,5E95,24213
庖,5E96,24214
店,5E97,24215
庙,5E99,24217
庚,5E9A,24218
府,5E9C,24220
庞,5E9E,24222
废,5E9F,24223
庠,5EA0,24224
度,5EA6,24230
座,5EA7,24231
庭,5EAD,24237
庵,5EB5,24245
庶,5EB6,24246
康,5EB7,24247
庸,5EB8,24248
廉,5EC9,24265
廊,5ECA,24266
廓,5ED3,24275
廖,5ED6,24278
延,5EF6,24310
廷,5EF7,24311
建,5EFA,24314
廿,5EFF,24319
开,5F00,24320
弁,5F01,24321
异,5F02,24322
弃,5F03,24323
弄,5F04,24324
弊,5F0A,24330
弋,5F0B,24331
式,5F0F,24335
弓,5F13,24339
引,5F15,24341
弗,5F17,24343
弘,5F18,24344
弛,5F1B,24347
弟,5F1F,24351
张,5F20,24352
弥,5F25,24357
弦,5F26,24358
弧,5F27,24359
弩,5F29,24361
弭,5F2D,24365
弯,5F2F,24367
弱,5F31,24369
弹,5F39,24377
强,5F3A,24378
弼,5F3C,24380
归,5F52,24402
当,5F53,24403
录,5F55,24405
彗,5F57,24407
彝,5F5D,24413
形,5F62,24418
彤,5F64,24420
彦,5F66,24422
彧,5F67,24423
彩,5F69,24425
彪,5F6A,24426
彬,5F6C,24428
彭,5F6D,24429
彰,5F70,24432
影,5F71,24433
彷,5F77,24439
役,5F79,24441
彻,5F7B,24443
彼,5F7C,24444
往,5F80,24448
征,5F81,24449
径,5F84,24452
待,5F85,24453
徇,5F87,24455
很,5F88,24456
徊,5F8A,24458
